,Country,GDP_USD_billions
0,United States,26949.64
1,China,17700.9
2,Germany,4429.84
3,Japan,4230.86
4,India,3732.22
5,United Kingdom,3332.06
6,France,3049.02
7,Italy,2186.08
8,Brazil,2126.81
9,Canada,2117.8
10,Russia,1862.47
11,Mexico,1811.47
12,South Korea,1709.23
13,Australia,1687.71
14,Spain,1582.05
15,Indonesia,1417.39
16,Turkey,1154.6
17,Netherlands,1092.75
18,Saudi Arabia,1069.44
19,Switzerland,905.68
20,Poland,842.17
21,Taiwan,751.93
22,Belgium,627.51
23,Argentina,621.83
24,Sweden,597.11
25,Ireland,589.57
26,Norway,546.77
27,Austria,526.18
28,Israel,521.69
29,Thailand,512.19
30,United Arab Emirates,509.18
31,Singapore,497.35
32,Bangladesh,446.35
33,Philippines,435.68
34,Vietnam,433.36
35,Malaysia,430.9
36,Denmark,420.8
37,Egypt,398.4
38,Nigeria,390.0
39,Hong Kong,385.55
40,South Africa,380.91
41,Iran,366.44
42,Colombia,363.84
43,Romania,350.41
44,Chile,344.4
45,Pakistan,340.64
46,Czech Republic,335.24
47,Finland,305.69
48,Iraq,297.7
49,Portugal,276.43
50,Peru,264.64
51,Kazakhstan,259.29
52,New Zealand,249.42
53,Greece,242.38
54,Qatar,235.5
55,Algeria,224.11
56,Hungary,203.83
57,Ukraine,173.41
58,Kuwait,159.69
59,Ethiopia,155.8
60,Morocco,147.34
61,Slovakia,133.04
62,Dominican Republic,120.63
63,Ecuador,118.69
64,Puerto Rico,117.52
65,Kenya,112.75
66,Oman,108.28
67,Bulgaria,103.1
68,Guatemala,102.76
69,Angola,93.8
70,Venezuela,92.21
71,Uzbekistan,90.39
72,Luxembourg,89.1
73,Costa Rica,85.59
74,Tanzania,84.03
75,Panama,82.35
76,Turkmenistan,81.82
77,Croatia,80.18
78,Ivory Coast,79.43
79,Lithuania,79.43
80,Azerbaijan,77.39
81,Ghana,76.63
82,Uruguay,76.24
83,Serbia,75.02
84,Myanmar,74.86
85,Belarus,68.86
86,Slovenia,68.39
87,DR Congo,67.51
88,Uganda,52.39
89,Tunisia,51.27
90,Jordan,50.02
91,Cameroon,49.26
92,Bolivia,46.8
93,Latvia,46.67
94,Bahrain,44.99
95,Paraguay,44.14
96,Estonia,41.8
97,Nepal,41.34
98,Libya,40.19
99,Macau,38.48
100,El Salvador,35.34
101,Honduras,33.99
102,Zimbabwe,32.42
103,Cyprus,32.03
104,Papua New Guinea,31.69
105,Senegal,31.14
106,Cambodia,30.94
107,Iceland,30.57
108,Georgia,30.02
109,Zambia,29.54
110,Trinidad and Tobago,27.89
111,Bosnia and Herzegovina,26.94
112,Haiti,25.99
113,Sudan,25.57
114,Armenia,24.54
115,Guinea,23.2
116,Albania,23.03
117,Mozambique,21.94
118,Mali,21.31
119,Yemen,21.04
120,Burkina Faso,20.78
121,Botswana,20.76
122,Malta,20.31
123,Benin,19.94
124,Gabon,19.32
125,Palestine,18.11
126,Mongolia,18.78
127,Jamaica,18.76
128,Nicaragua,17.35
129,Niger,17.07
130,Guyana,16.33
131,Moldova,16.0
132,North Macedonia,15.8
133,Madagascar,15.76
134,Brunei,15.15
135,Mauritius,14.82
136,Congo,14.41
137,Laos,14.24
138,Rwanda,13.93
139,Bahamas,13.88
140,Malawi,13.18
141,Kyrgyzstan,12.68
142,Namibia,12.65
143,Chad,12.6
144,Tajikistan,11.82
145,Somalia,11.52
146,Kosovo,10.47
147,Mauritania,10.36
148,Equatorial Guinea,10.04
149,Togo,9.11
150,Montenegro,7.06
151,Maldives,6.98
152,South Sudan,6.27
153,Barbados,6.22
154,Fiji,5.51
155,Eswatini,4.65
156,Liberia,4.35
157,Djibouti,3.87
158,Aruba,3.83
159,Andorra,3.69
160,Suriname,3.54
161,Sierra Leone,3.52
162,Belize,3.22
163,Burundi,3.19
164,Central African Republic,2.76
165,Bhutan,2.69
166,Cape Verde,2.6
167,Saint Lucia,2.47
168,Gambia,2.39
169,Lesotho,2.37
170,Seychelles,2.08
171,East Timor,2.02
172,San Marino,2.0
173,Guinea-Bissau,1.99
174,Antigua and Barbuda,1.95
175,Solomon Islands,1.69
176,Comoros,1.36
177,Grenada,1.31
178,Vanuatu,1.17
179,Saint Kitts and Nevis,1.07
180,Saint Vincent and the Grenadines,1.04
181,Samoa,0.94
182,Dominica,0.7
183,São Tomé and Príncipe,0.67
184,Tonga,0.55
185,Micronesia,0.46
186,Marshall Islands,0.28
187,Palau,0.27
188,Kiribati,0.25
189,Nauru,0.15
190,Tuvalu,0.06
